,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
138,Renault Duster,Renault,2017,"42,528 km",Petrol,Manual,"EMI ₹10,753/m*",₹5.50 lakh
139,Tata NEXON,Tata,2018,"41,732 km",Petrol,Manual,"EMI ₹10,380/m*",₹5.88 lakh
140,Honda City,Honda,2014,"59,486 km",Petrol,Auto,"EMI ₹14,907/m*",₹4.49 lakh
141,KIA SONET,KIA,2020,"74,360 km",Petrol,Manual,"EMI ₹11,121/m*",₹6.30 lakh
142,Tata Tiago,Tata,2018,"66,197 km",Petrol,Manual,"EMI ₹6,073/m*",₹3.44 lakh
143,Hyundai Grand i10,Hyundai,2015,"95,057 km",Petrol,Manual,"EMI ₹8,027/m*",₹3.05 lakh
144,Renault Kwid,Renault,2023,"26,446 km",Petrol,Auto,"EMI ₹7,591/m*",₹4.30 lakh
145,Honda City,Honda,2015,"1,04,537 km",Petrol,Manual,"EMI ₹11,771/m*",₹4.47 lakh
146,Honda City,Honda,2020,"57,917 km",Petrol,Auto,"EMI ₹13,012/m*",₹7.37 lakh
147,Hyundai Creta,Hyundai,2018,"1,10,316 km",Petrol,Manual,"EMI ₹14,259/m*",₹6.41 lakh
148,Volkswagen Ameo,Volkswagen,2019,"1,11,009 km",Diesel,Auto,"EMI ₹10,433/m*",₹4.69 lakh
149,Tata Tiago,Tata,2018,"43,222 km",Petrol,Manual,"EMI ₹6,524/m*",₹3.70 lakh
150,Tata Tiago,Tata,2018,"62,913 km",Petrol,Auto,"EMI ₹6,849/m*",₹3.88 lakh
151,Ford Ecosport,Ford,2021,"21,168 km",Petrol,Manual,"EMI ₹13,063/m*",₹7.40 lakh
152,Hyundai NEW SANTRO,Hyundai,2020,"36,748 km",Petrol,Auto,"EMI ₹7,008/m*",₹3.97 lakh
153,Maruti IGNIS,Maruti,2021,"1,12,107 km",Petrol,Manual,"EMI ₹9,231/m*",₹4.15 lakh
154,Maruti Alto K10,Maruti,2014,"34,789 km",Petrol,Auto,"EMI ₹7,075/m*",₹2.13 lakh
155,Maruti Alto 800,Maruti,2014,"43,217 km",Petrol,Manual,"EMI ₹6,809/m*",₹2.05 lakh
156,Tata NEXON,Tata,2021,"92,325 km",Diesel,Manual,"EMI ₹11,139/m*",₹6.31 lakh
157,Honda City,Honda,2014,"46,662 km",Petrol,Auto,"EMI ₹13,751/m*",₹4.14 lakh
158,Maruti New Wagon-R,Maruti,2020,"45,744 km",Petrol,Manual,"EMI ₹8,245/m*",₹4.67 lakh
159,Hyundai Grand i10,Hyundai,2019,"27,445 km",Petrol,Manual,"EMI ₹8,175/m*",₹4.63 lakh
160,KIA SONET,KIA,2023,"11,111 km",Petrol,Auto,"EMI ₹16,438/m*",₹9.60 lakh
161,Hyundai VENUE,Hyundai,2023,"43,845 km",Petrol,Auto,"EMI ₹15,068/m*",₹8.80 lakh
162,Hyundai VENUE,Hyundai,2021,"1,05,889 km",Diesel,Manual,"EMI ₹15,438/m*",₹6.94 lakh
163,Maruti Dzire,Maruti,2022,"49,916 km",Petrol,Auto,"EMI ₹11,071/m*",₹6.27 lakh
164,Hyundai Grand i10,Hyundai,2016,"77,055 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
165,Maruti Swift,Maruti,2016,"57,190 km",Petrol,Manual,"EMI ₹9,346/m*",₹4.20 lakh
166,Maruti S Cross,Maruti,2021,"90,927 km",Petrol,Manual,"EMI ₹10,909/m*",₹6.18 lakh
167,Hyundai NEW SANTRO,Hyundai,2021,"71,159 km",Petrol,Auto,"EMI ₹7,679/m*",₹4.35 lakh
168,Mahindra XUV500,Mahindra,2018,"1,00,421 km",Diesel,Auto,"EMI ₹23,569/m*",₹10.84 lakh
169,Skoda SLAVIA,Skoda,2022,"20,638 km",Petrol,Auto,"EMI ₹19,759/m*",₹11.54 lakh
170,Hyundai Grand i10,Hyundai,2016,"70,797 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
171,Hyundai NEW SANTRO,Hyundai,2019,"55,958 km",Petrol,Auto,"EMI ₹6,262/m*",₹3.55 lakh
172,Honda Amaze,Honda,2015,"67,991 km",Petrol,Manual,"EMI ₹9,717/m*",₹3.69 lakh
173,Hyundai NEW SANTRO,Hyundai,2021,"75,804 km",Petrol,Auto,"EMI ₹7,869/m*",₹4.46 lakh
174,Tata NEXON,Tata,2019,"1,43,731 km",Diesel,Auto,"EMI ₹11,678/m*",₹5.25 lakh
175,Maruti Celerio,Maruti,2017,"42,390 km",Petrol,Auto,"EMI ₹7,234/m*",₹3.70 lakh
176,Hyundai NEW SANTRO,Hyundai,2018,"44,753 km",Petrol,Manual,"EMI ₹6,020/m*",₹3.41 lakh
177,Hyundai Elite i20,Hyundai,2019,"33,108 km",Petrol,Auto,"EMI ₹11,249/m*",₹6.37 lakh
178,Hyundai Grand i10,Hyundai,2015,"64,394 km",Petrol,Auto,"EMI ₹8,190/m*",₹3.11 lakh
179,Hyundai Elite i20,Hyundai,2015,"52,439 km",Petrol,Manual,"EMI ₹12,416/m*",₹4.71 lakh
180,Maruti Alto K10,Maruti,2023,"35,580 km",Petrol,Manual,"EMI ₹7,338/m*",₹4.16 lakh
181,Tata ALTROZ,Tata,2021,"61,416 km",Petrol,Manual,"EMI ₹10,239/m*",₹5.80 lakh
182,Honda Jazz,Honda,2018,"55,314 km",Petrol,Manual,"EMI ₹7,803/m*",₹4.42 lakh
183,Hyundai i10,Hyundai,2016,"63,253 km",Petrol,Manual,"EMI ₹6,184/m*",₹2.78 lakh
184,Hyundai Elite i20,Hyundai,2018,"63,188 km",Petrol,Auto,"EMI ₹10,609/m*",₹6.01 lakh
185,Honda Jazz,Honda,2017,"57,503 km",Petrol,Auto,"EMI ₹8,993/m*",₹4.60 lakh
