,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
351,Nissan Sunny,Nissan,2017,"69,665 km",Petrol,Auto,"EMI ₹6,667/m*",₹3.41 lakh
352,Skoda SLAVIA,Skoda,2023,"13,821 km",Petrol,Auto,"EMI ₹20,650/m*",₹12.06 lakh
353,Honda City,Honda,2017,"52,538 km",Petrol,Manual,"EMI ₹11,984/m*",₹6.13 lakh
354,MG HECTOR,MG,2021,"91,767 km",Petrol,Auto,"EMI ₹21,369/m*",₹12.48 lakh
355,Maruti Alto,Maruti,2021,"45,344 km",Petrol,Manual,"EMI ₹5,119/m*",₹2.90 lakh
356,Mahindra XUV700,Mahindra,2022,"1,25,493 km",Diesel,Manual,"EMI ₹29,678/m*",₹13.65 lakh
357,Hyundai Creta,Hyundai,2023,"26,833 km",Petrol,Manual,"EMI ₹16,848/m*",₹9.84 lakh
358,Hyundai Creta,Hyundai,2021,"69,136 km",Diesel,Auto,"EMI ₹19,725/m*",₹11.52 lakh
359,Maruti Vitara Brezza,Maruti,2018,"1,02,027 km",Diesel,Auto,"EMI ₹11,790/m*",₹5.30 lakh
360,MG HECTOR,MG,2021,"40,842 km",Petrol,Manual,"EMI ₹18,818/m*",₹10.99 lakh
361,Mahindra MARAZZO,Mahindra,2019,"1,87,820 km",Diesel,Manual,"EMI ₹15,794/m*",₹7.10 lakh
362,Ford Ecosport,Ford,2020,"89,412 km",Petrol,Manual,"EMI ₹10,874/m*",₹6.16 lakh
363,Hyundai Verna,Hyundai,2024,"22,349 km",Petrol,Auto,"EMI ₹26,557/m*",₹15.51 lakh
364,Hyundai VENUE,Hyundai,2020,"1,26,475 km",Diesel,Manual,"EMI ₹14,325/m*",₹6.44 lakh
365,Honda WR-V,Honda,2021,"86,789 km",Diesel,Manual,"EMI ₹13,240/m*",₹7.50 lakh
366,Ford Ecosport,Ford,2020,"61,666 km",Petrol,Manual,"EMI ₹10,751/m*",₹6.09 lakh
367,KIA SELTOS,KIA,2020,"1,06,297 km",Diesel,Auto,"EMI ₹26,678/m*",₹12.27 lakh
368,Hyundai Creta,Hyundai,2024,"25,365 km",Petrol,Manual,"EMI ₹18,835/m*",₹11.00 lakh
369,Hyundai Creta,Hyundai,2016,"57,664 km",Petrol,Manual,"EMI ₹12,257/m*",₹5.51 lakh
370,BMW 3 Series,BMW,2016,"1,55,692 km",Diesel,Auto,"EMI ₹28,430/m*",₹11.00 lakh
371,Maruti Ciaz,Maruti,2020,"60,436 km",Petrol,Manual,"EMI ₹10,150/m*",₹5.75 lakh
372,Honda Amaze,Honda,2020,"92,787 km",Diesel,Manual,"EMI ₹9,179/m*",₹5.20 lakh
373,MG HECTOR PLUS,MG,2021,"76,702 km",Diesel,Manual,"EMI ₹27,242/m*",₹15.91 lakh
374,Landrover Range Rover Evoque,Landrover,2020,"30,833 km",Petrol,Auto,"EMI ₹43,988/m*",₹25.69 lakh
375,Maruti IGNIS,Maruti,2025,"4,030 km",Petrol,Manual,"EMI ₹9,497/m*",₹5.38 lakh
376,Mahindra Thar,Mahindra,2024,"20,822 km",Diesel,Manual,"EMI ₹23,389/m*",₹13.66 lakh
