,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
178,Maruti Alto 800,Maruti,2017,"46,096 km",Petrol,Manual,"EMI ₹5,298/m*",₹2.71 lakh
179,Maruti Wagon R 1.0,Maruti,2011,"1,18,833 km",Petrol,Manual,"EMI ₹5,298/m*",₹0.97 lakh
180,Mahindra XUV500,Mahindra,2012,"2,27,600 km",Diesel,Manual,"EMI ₹5,298/m*",₹2.02 lakh
181,Hyundai Verna,Hyundai,2010,"50,242 km",Petrol,Manual,"EMI ₹5,298/m*",₹0.87 lakh
182,Maruti Baleno,Maruti,2015,"78,112 km",Petrol,Manual,"EMI ₹11,218/m*",₹4.26 lakh
183,Maruti Swift Dzire,Maruti,2013,"1,78,420 km",Petrol,Manual,"EMI ₹12,992/m*",₹2.76 lakh
184,Mahindra Bolero,Mahindra,2020,"1,17,933 km",Diesel,Manual,"EMI ₹17,128/m*",₹7.70 lakh
185,Tata PUNCH,Tata,2022,"63,153 km",Petrol,Manual,"EMI ₹8,879/m*",₹5.03 lakh
186,Hyundai Grand i10,Hyundai,2015,"86,000 km",Petrol,Manual,"EMI ₹6,610/m*",₹2.51 lakh
187,Jeep Compass,Jeep,2018,"57,374 km",Diesel,Manual,"EMI ₹15,425/m*",₹7.89 lakh
188,Honda Amaze,Honda,2015,"68,011 km",Petrol,Manual,"EMI ₹8,585/m*",₹3.26 lakh
189,Datsun Redi Go,Datsun,2017,"35,579 km",Petrol,Manual,"EMI ₹3,108/m*",₹1.59 lakh
190,Maruti Swift,Maruti,2016,"1,19,841 km",Petrol,Manual,"EMI ₹6,748/m*",₹3.03 lakh
191,Maruti Wagon R 1.0,Maruti,2013,"77,241 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
192,Renault Kwid,Renault,2020,"1,12,390 km",Petrol,Manual,"EMI ₹5,672/m*",₹2.55 lakh
193,Hyundai Eon,Hyundai,2015,"73,606 km",Petrol,Manual,"EMI ₹3,186/m*",₹1.21 lakh
194,Datsun Redi Go,Datsun,2017,"1,21,162 km",Petrol,Manual,"EMI ₹3,003/m*",₹1.35 lakh
195,Honda Amaze,Honda,2015,"1,06,049 km",Diesel,Manual,"EMI ₹7,274/m*",₹2.19 lakh
196,Renault Kwid,Renault,2017,"75,304 km",Petrol,Manual,"EMI ₹4,477/m*",₹2.29 lakh
197,Renault Kwid,Renault,2021,"43,767 km",Petrol,Manual,"EMI ₹4,943/m*",₹2.80 lakh
198,Maruti Wagon R 1.0,Maruti,2015,"81,211 km",Petrol,Manual,"EMI ₹4,714/m*",₹1.79 lakh
199,Hyundai i10,Hyundai,2012,"56,959 km",Petrol,Manual,"EMI ₹13,594/m*",₹1.53 lakh
200,Hyundai i10,Hyundai,2013,"60,077 km",Petrol,Manual,"EMI ₹6,826/m*",₹1.45 lakh
201,Maruti FRONX,Maruti,2025,"4,252 km",Petrol,Manual,"EMI ₹12,392/m*",₹7.02 lakh
202,Hyundai i20,Hyundai,2013,"1,07,390 km",Diesel,Manual,"EMI ₹13,505/m*",₹1.52 lakh
203,Nissan Sunny,Nissan,2013,"1,03,622 km",Diesel,Manual,"EMI ₹13,061/m*",₹1.47 lakh
204,Tata NEXON,Tata,2019,"1,91,441 km",Diesel,Manual,"EMI ₹7,763/m*",₹3.49 lakh
205,Volkswagen Polo,Volkswagen,2020,"57,510 km",Petrol,Manual,"EMI ₹6,620/m*",₹3.75 lakh
206,Volkswagen Vento,Volkswagen,2011,"75,384 km",Petrol,Manual,"EMI ₹6,620/m*",₹1.55 lakh
207,Renault TRIBER,Renault,2022,"46,966 km",Petrol,Manual,"EMI ₹8,491/m*",₹4.81 lakh
208,Maruti Baleno,Maruti,2017,"1,09,810 km",Petrol,Manual,"EMI ₹8,008/m*",₹3.60 lakh
209,Renault Duster,Renault,2017,"1,54,288 km",Diesel,Manual,"EMI ₹7,897/m*",₹3.55 lakh
210,Honda City,Honda,2011,"1,31,704 km",Petrol,Manual,"EMI ₹7,897/m*",₹2.05 lakh
211,Maruti Swift,Maruti,2015,"1,05,961 km",Diesel,Manual,"EMI ₹11,393/m*",₹3.43 lakh
212,Datsun Redi Go,Datsun,2017,"83,475 km",Petrol,Manual,"EMI ₹2,542/m*",₹1.30 lakh
213,Audi A4,Audi,2011,"1,09,666 km",Diesel,Auto,"EMI ₹2,542/m*",₹5.42 lakh
214,Honda Jazz,Honda,2012,"94,237 km",Petrol,Manual,"EMI ₹14,571/m*",₹1.64 lakh
215,Hyundai Eon,Hyundai,2015,"83,789 km",Petrol,Manual,"EMI ₹3,529/m*",₹1.34 lakh
216,Maruti Swift,Maruti,2014,"1,32,311 km",Petrol,Manual,"EMI ₹7,639/m*",₹2.30 lakh
217,Toyota Etios,Toyota,2011,"1,42,551 km",Petrol,Manual,"EMI ₹7,639/m*",₹2.11 lakh
