,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
183,Maruti Ciaz,Maruti,2016,"78,023 km",Petrol,Manual,"EMI ₹8,586/m*",₹3.86 lakh
184,Honda Jazz,Honda,2016,"69,887 km",Petrol,Manual,"EMI ₹7,732/m*",₹3.48 lakh
185,Hyundai GRAND I10 NIOS,Hyundai,2021,"41,176 km",Petrol,Manual,"EMI ₹9,444/m*",₹5.35 lakh
186,Ford Figo,Ford,2012,"1,04,374 km",Petrol,Manual,"EMI ₹13,736/m*",₹1.55 lakh
187,Tata TIGOR,Tata,2018,"49,377 km",CNG,Manual,"EMI ₹9,547/m*",₹4.29 lakh
188,Volkswagen Vento,Volkswagen,2016,"86,836 km",Diesel,Auto,"EMI ₹12,640/m*",₹4.80 lakh
189,Mahindra XUV500,Mahindra,2018,"99,702 km",Diesel,Auto,"EMI ₹14,956/m*",₹7.65 lakh
190,Tata NEXON,Tata,2018,"55,956 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
191,Ford Ecosport,Ford,2014,"65,708 km",Petrol,Auto,"EMI ₹12,695/m*",₹3.82 lakh
192,Hyundai i10,Hyundai,2012,"1,17,801 km",CNG,Auto,"EMI ₹12,695/m*",₹1.79 lakh
193,Renault Kwid,Renault,2018,"47,888 km",Petrol,Auto,"EMI ₹4,095/m*",₹2.32 lakh
194,Volkswagen Polo,Volkswagen,2015,"1,38,864 km",Petrol,Auto,"EMI ₹9,507/m*",₹3.61 lakh
195,Hyundai NEW SANTRO,Hyundai,2019,"9,012 km",Petrol,Auto,"EMI ₹6,660/m*",₹3.77 lakh
196,Maruti Alto 800,Maruti,2016,"38,372 km",Petrol,Manual,"EMI ₹5,125/m*",₹2.30 lakh
197,Tata TIGOR,Tata,2018,"67,411 km",Petrol,Manual,"EMI ₹6,729/m*",₹3.81 lakh
198,Hyundai Verna,Hyundai,2013,"1,36,029 km",Diesel,Manual,"EMI ₹29,054/m*",₹3.27 lakh
199,Maruti Celerio,Maruti,2017,"98,088 km",CNG,Auto,"EMI ₹8,901/m*",₹3.38 lakh
200,Renault Kwid,Renault,2021,"14,474 km",Petrol,Manual,"EMI ₹5,614/m*",₹3.18 lakh
201,Volkswagen VIRTUS,Volkswagen,2022,"11,979 km",Petrol,Auto,"EMI ₹19,708/m*",₹11.51 lakh
202,Honda City,Honda,2015,"90,156 km",CNG,Manual,"EMI ₹18,194/m*",₹3.86 lakh
203,Maruti Zen Estilo,Maruti,2013,"1,07,119 km",CNG,Manual,"EMI ₹18,194/m*",₹1.53 lakh
204,Toyota Etios,Toyota,2014,"81,689 km",Petrol,Manual,"EMI ₹8,138/m*",₹2.45 lakh
205,Renault Kwid,Renault,2016,"66,090 km",Petrol,Manual,"EMI ₹3,648/m*",₹1.64 lakh
206,Maruti Alto 800,Maruti,2013,"77,268 km",Petrol,Manual,"EMI ₹6,463/m*",₹1.37 lakh
207,Hyundai Verna,Hyundai,2013,"76,331 km",Petrol,Manual,"EMI ₹14,522/m*",₹3.08 lakh
208,Hyundai NEW SANTRO,Hyundai,2019,"1,00,156 km",CNG,Manual,"EMI ₹6,847/m*",₹3.08 lakh
209,Renault Kwid,Renault,2018,"76,339 km",Petrol,Auto,"EMI ₹5,487/m*",₹3.11 lakh
210,Honda Amaze,Honda,2021,"52,473 km",Petrol,Auto,"EMI ₹11,108/m*",₹6.29 lakh
211,Hyundai AURA,Hyundai,2023,"56,354 km",CNG,Manual,"EMI ₹10,999/m*",₹6.23 lakh
212,Maruti Ciaz,Maruti,2016,"53,859 km",Petrol,Manual,"EMI ₹10,361/m*",₹4.66 lakh
213,Maruti Baleno,Maruti,2021,"28,741 km",Petrol,Manual,"EMI ₹10,359/m*",₹5.87 lakh
214,Maruti Celerio,Maruti,2022,"31,411 km",Petrol,Manual,"EMI ₹7,485/m*",₹4.24 lakh
215,Tata NEXON,Tata,2020,"48,030 km",Diesel,Manual,"EMI ₹13,097/m*",₹7.42 lakh
216,Hyundai Elite i20,Hyundai,2018,"70,908 km",Petrol,Auto,"EMI ₹8,203/m*",₹4.65 lakh
217,Hyundai i10,Hyundai,2014,"72,480 km",CNG,Manual,"EMI ₹21,501/m*",₹2.42 lakh
218,Nissan Micra,Nissan,2013,"61,301 km",Petrol,Auto,"EMI ₹10,394/m*",₹2.21 lakh
219,Honda City,Honda,2014,"1,17,962 km",Petrol,Manual,"EMI ₹9,998/m*",₹3.01 lakh
220,Tata ALTROZ,Tata,2021,"51,807 km",Diesel,Manual,"EMI ₹12,710/m*",₹7.20 lakh
221,Maruti Alto 800,Maruti,2015,"79,198 km",Petrol,Manual,"EMI ₹4,550/m*",₹1.73 lakh
222,Maruti Celerio,Maruti,2018,"58,748 km",Petrol,Auto,"EMI ₹5,967/m*",₹3.38 lakh
223,Hyundai Grand i10,Hyundai,2015,"71,429 km",Petrol,Manual,"EMI ₹7,874/m*",₹2.99 lakh
224,Hyundai i10,Hyundai,2014,"75,832 km",Petrol,Manual,"EMI ₹6,603/m*",₹1.99 lakh
