,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
140,Maruti Baleno,Maruti,2021,"91,729 km",Petrol,Manual,"EMI ₹7,764/m*",₹4.40 lakh
141,Maruti Vitara Brezza,Maruti,2021,"62,466 km",Petrol,Manual,"EMI ₹11,739/m*",₹6.65 lakh
142,Mahindra BOLERO NEO,Mahindra,2022,"60,038 km",Diesel,Manual,"EMI ₹12,763/m*",₹7.23 lakh
143,Tata ALTROZ,Tata,2022,"24,279 km",Petrol,Auto,"EMI ₹10,672/m*",₹6.05 lakh
144,Renault TRIBER,Renault,2022,"18,634 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
145,Skoda Octavia,Skoda,2018,"51,352 km",Petrol,Auto,"EMI ₹18,321/m*",₹10.70 lakh
146,Renault Kwid,Renault,2022,"25,914 km",Petrol,Manual,"EMI ₹6,267/m*",₹3.55 lakh
147,Mahindra XUV300,Mahindra,2022,"91,756 km",Diesel,Auto,"EMI ₹14,383/m*",₹8.40 lakh
148,Honda Amaze,Honda,2022,"14,306 km",Petrol,Auto,"EMI ₹11,121/m*",₹6.30 lakh
149,Maruti Vitara Brezza,Maruti,2018,"54,822 km",Diesel,Manual,"EMI ₹9,971/m*",₹5.10 lakh
150,KIA SELTOS,KIA,2020,"52,905 km",Petrol,Manual,"EMI ₹14,035/m*",₹8.20 lakh
151,KIA SELTOS,KIA,2019,"54,013 km",Petrol,Auto,"EMI ₹13,332/m*",₹7.55 lakh
152,Maruti Alto 800,Maruti,2017,"28,392 km",Petrol,Manual,"EMI ₹4,106/m*",₹2.10 lakh
153,Tata ALTROZ,Tata,2024,"12,097 km",Petrol,Auto,"EMI ₹14,468/m*",₹8.45 lakh
154,Maruti Vitara Brezza,Maruti,2019,"57,090 km",Diesel,Auto,"EMI ₹9,882/m*",₹5.60 lakh
155,Maruti Swift Dzire,Maruti,2017,"57,076 km",Diesel,Auto,"EMI ₹8,342/m*",₹3.75 lakh
156,Honda WR-V,Honda,2018,"36,420 km",Petrol,Manual,"EMI ₹7,679/m*",₹4.35 lakh
157,Mahindra XUV300,Mahindra,2021,"5,206 km",Petrol,Manual,"EMI ₹13,647/m*",₹7.73 lakh
158,Honda Amaze,Honda,2018,"1,00,226 km",Diesel,Manual,"EMI ₹10,010/m*",₹4.50 lakh
159,Hyundai Elite i20,Hyundai,2016,"35,991 km",Petrol,Manual,"EMI ₹7,457/m*",₹3.35 lakh
160,Maruti Grand Vitara,Maruti,2022,"58,453 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
161,Hyundai Grand i10,Hyundai,2016,"67,042 km",Petrol,Manual,"EMI ₹5,895/m*",₹2.65 lakh
162,Hyundai Eon,Hyundai,2017,"16,511 km",Petrol,Manual,"EMI ₹4,399/m*",₹2.25 lakh
163,Maruti Grand Vitara,Maruti,2022,"62,308 km",Petrol,Manual,"EMI ₹16,612/m*",₹9.70 lakh
164,KIA SELTOS,KIA,2019,"38,260 km",Petrol,Auto,"EMI ₹13,808/m*",₹8.06 lakh
165,Honda Jazz,Honda,2016,"94,307 km",Petrol,Auto,"EMI ₹7,101/m*",₹3.19 lakh
166,Hyundai NEW SANTRO,Hyundai,2020,"1,13,846 km",Petrol,Manual,"EMI ₹6,230/m*",₹2.80 lakh
