,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
99,Hyundai Elite i20,Hyundai,2015,"92,619 km",Diesel,Manual,"EMI ₹13,286/m*",₹4.00 lakh
100,Maruti Baleno,Maruti,2015,"97,193 km",Petrol,Auto,"EMI ₹8,958/m*",₹3.40 lakh
101,Maruti Wagon R 1.0,Maruti,2012,"81,230 km",Petrol,Manual,"EMI ₹16,881/m*",₹1.90 lakh
102,Hyundai VENUE,Hyundai,2021,"52,318 km",Diesel,Manual,"EMI ₹15,051/m*",₹8.79 lakh
103,Honda BR-V,Honda,2018,"69,152 km",Petrol,Manual,"EMI ₹10,454/m*",₹5.92 lakh
104,Hyundai Elite i20,Hyundai,2017,"94,615 km",Petrol,Manual,"EMI ₹7,941/m*",₹4.06 lakh
105,Hyundai Grand i10,Hyundai,2014,"40,965 km",Petrol,Manual,"EMI ₹8,503/m*",₹2.56 lakh
106,Hyundai VENUE,Hyundai,2019,"38,118 km",CNG,Manual,"EMI ₹11,869/m*",₹6.07 lakh
107,Maruti Alto 800,Maruti,2017,"39,580 km",Petrol,Manual,"EMI ₹3,128/m*",₹1.60 lakh
108,Nissan MAGNITE,Nissan,2021,"88,008 km",Petrol,Manual,"EMI ₹8,756/m*",₹4.96 lakh
109,Tata Tiago,Tata,2019,"66,680 km",Petrol,Manual,"EMI ₹6,885/m*",₹3.90 lakh
110,Mahindra XUV700,Mahindra,2022,"49,147 km",Diesel,Manual,"EMI ₹25,341/m*",₹14.80 lakh
111,Hyundai Elite i20,Hyundai,2019,"90,928 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
112,Maruti Alto 800,Maruti,2016,"78,236 km",Petrol,Manual,"EMI ₹4,338/m*",₹1.95 lakh
113,Tata ALTROZ,Tata,2021,"55,699 km",Petrol,Manual,"EMI ₹7,396/m*",₹4.19 lakh
114,Volkswagen Vento,Volkswagen,2018,"67,028 km",Petrol,Auto,"EMI ₹10,751/m*",₹6.09 lakh
115,Honda Amaze,Honda,2015,"81,143 km",Petrol,Manual,"EMI ₹7,479/m*",₹2.84 lakh
116,Renault TRIBER,Renault,2023,"22,597 km",Petrol,Manual,"EMI ₹9,444/m*",₹5.35 lakh
