,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
804,Hyundai i10,Hyundai,2012,"1,17,101 km",Petrol,Manual,"EMI ₹22,034/m*",₹2.48 lakh
805,Renault Kwid,Renault,2016,"54,129 km",Petrol,Manual,"EMI ₹5,450/m*",₹2.45 lakh
806,Maruti Wagon R 1.0,Maruti,2016,"69,332 km",Petrol,Auto,"EMI ₹5,116/m*",₹2.30 lakh
807,Tata NEXON,Tata,2020,"23,568 km",Petrol,Manual,"EMI ₹9,374/m*",₹5.31 lakh
808,Datsun Redi Go,Datsun,2018,"1,32,854 km",Petrol,Manual,"EMI ₹5,072/m*",₹2.28 lakh
809,Maruti Eeco,Maruti,2024,"24,917 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
810,Honda City,Honda,2011,"1,79,615 km",Petrol,Manual,"EMI ₹10,592/m*",₹2.30 lakh
811,Maruti Alto K10,Maruti,2016,"99,225 km",Petrol,Manual,"EMI ₹3,960/m*",₹1.78 lakh
812,Renault Kiger,Renault,2023,"24,746 km",Petrol,Auto,"EMI ₹12,057/m*",₹6.83 lakh
813,Maruti Alto 800,Maruti,2013,"1,12,403 km",Petrol,Manual,"EMI ₹9,415/m*",₹2.00 lakh
814,KIA SONET,KIA,2022,"56,005 km",Diesel,Manual,"EMI ₹18,167/m*",₹10.61 lakh
815,Tata NEXON,Tata,2019,"43,820 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
816,Renault Duster,Renault,2013,"77,002 km",Petrol,Manual,"EMI ₹12,710/m*",₹2.70 lakh
817,Ford FREESTYLE,Ford,2018,"35,913 km",Diesel,Manual,"EMI ₹12,082/m*",₹6.18 lakh
818,Volkswagen Polo,Volkswagen,2015,"1,06,895 km",Petrol,Auto,"EMI ₹8,532/m*",₹3.24 lakh
819,BMW X1,BMW,2016,"65,254 km",Diesel,Auto,"EMI ₹44,971/m*",₹17.40 lakh
820,Mahindra Thar,Mahindra,2023,"4,237 km",Petrol,Auto,"EMI ₹21,865/m*",₹12.77 lakh
821,Maruti Alto K10,Maruti,2011,"50,609 km",Petrol,Manual,"EMI ₹21,865/m*",₹1.64 lakh
822,Ford Figo,Ford,2012,"86,456 km",Diesel,Manual,"EMI ₹21,865/m*",₹1.78 lakh
823,Volkswagen Polo,Volkswagen,2011,"80,213 km",Petrol,Manual,"EMI ₹21,865/m*",₹2.34 lakh
824,Hyundai Eon,Hyundai,2014,"38,636 km",Petrol,Manual,"EMI ₹7,739/m*",₹2.33 lakh
825,Renault Kwid,Renault,2016,"45,333 km",Petrol,Manual,"EMI ₹5,561/m*",₹2.50 lakh
826,Maruti Baleno,Maruti,2016,"88,621 km",Petrol,Manual,"EMI ₹11,011/m*",₹4.95 lakh
827,Hyundai i20,Hyundai,2012,"1,25,770 km",Diesel,Manual,"EMI ₹11,011/m*",₹3.72 lakh
828,Renault Kwid,Renault,2015,"48,701 km",Petrol,Manual,"EMI ₹7,294/m*",₹2.77 lakh
829,MG HECTOR PLUS,MG,2020,"65,000 km",Diesel,Manual,"EMI ₹25,495/m*",₹14.89 lakh
830,Tata Tiago,Tata,2017,"52,833 km",Petrol,Auto,"EMI ₹8,700/m*",₹4.45 lakh
831,Ford Figo,Ford,2012,"1,01,101 km",Diesel,Manual,"EMI ₹8,700/m*",₹1.74 lakh
832,Ford Figo,Ford,2012,"47,489 km",Diesel,Manual,"EMI ₹8,700/m*",₹2.08 lakh
833,Hyundai Xcent,Hyundai,2014,"71,261 km",Diesel,Manual,"EMI ₹17,888/m*",₹3.80 lakh
834,Maruti Swift,Maruti,2012,"1,54,526 km",Diesel,Manual,"EMI ₹17,888/m*",₹3.05 lakh
835,Maruti Swift,Maruti,2013,"1,11,254 km",Diesel,Manual,"EMI ₹26,655/m*",₹3.00 lakh
836,Maruti Alto 800,Maruti,2012,"20,554 km",Petrol,Manual,"EMI ₹19,369/m*",₹2.18 lakh
837,Tata Zest,Tata,2014,"1,13,007 km",Diesel,Manual,"EMI ₹12,474/m*",₹2.65 lakh
838,Maruti Swift Dzire,Maruti,2015,"57,491 km",Petrol,Manual,"EMI ₹12,772/m*",₹4.85 lakh
839,Maruti Alto K10,Maruti,2012,"55,720 km",Petrol,Manual,"EMI ₹23,190/m*",₹2.61 lakh
840,Maruti Ciaz,Maruti,2018,"1,10,417 km",Petrol,Manual,"EMI ₹11,856/m*",₹5.33 lakh
841,Maruti Celerio,Maruti,2014,"1,00,355 km",Petrol,Manual,"EMI ₹9,134/m*",₹2.75 lakh
842,Maruti Swift Dzire,Maruti,2013,"65,854 km",Petrol,Manual,"EMI ₹11,203/m*",₹2.38 lakh
843,Skoda SLAVIA,Skoda,2022,"30,786 km",Petrol,Manual,"EMI ₹18,064/m*",₹10.55 lakh
844,Maruti Wagon R 1.0,Maruti,2011,"1,11,350 km",Petrol,Manual,"EMI ₹18,064/m*",₹2.28 lakh
845,Volkswagen Polo,Volkswagen,2014,"62,551 km",Petrol,Auto,"EMI ₹15,445/m*",₹4.65 lakh
846,Tata Tiago,Tata,2017,"78,027 km",Petrol,Manual,"EMI ₹7,331/m*",₹3.75 lakh
847,Skoda Rapid,Skoda,2012,"91,355 km",Diesel,Manual,"EMI ₹7,331/m*",₹2.21 lakh
848,Hyundai GRAND I10 NIOS,Hyundai,2022,"24,816 km",Petrol,Manual,"EMI ₹8,685/m*",₹4.92 lakh
849,Renault Kwid,Renault,2018,"28,274 km",Petrol,Auto,"EMI ₹6,284/m*",₹3.56 lakh
850,Hyundai i10,Hyundai,2013,"98,698 km",Petrol,Manual,"EMI ₹14,122/m*",₹3.00 lakh
851,Renault Kwid,Renault,2021,"37,728 km",Petrol,Auto,"EMI ₹8,915/m*",₹5.05 lakh
852,Honda Brio,Honda,2012,"1,26,034 km",Petrol,Manual,"EMI ₹17,770/m*",₹2.00 lakh
853,Renault Kwid,Renault,2017,"29,229 km",Petrol,Auto,"EMI ₹6,999/m*",₹3.58 lakh
854,Tata NEXON,Tata,2021,"1,40,363 km",Diesel,Auto,"EMI ₹12,457/m*",₹5.60 lakh
855,Hyundai i20,Hyundai,2011,"38,431 km",Petrol,Manual,"EMI ₹12,457/m*",₹2.29 lakh
856,Tata Manza,Tata,2011,"90,678 km",Diesel,Manual,"EMI ₹12,457/m*",₹1.91 lakh
857,Tata Nano,Tata,2014,"42,828 km",Petrol,Manual,"EMI ₹3,521/m*",₹1.06 lakh
858,Maruti Wagon R Stingray,Maruti,2013,"28,605 km",Petrol,Manual,"EMI ₹10,309/m*",₹2.19 lakh
859,CITROEN C3,CITROEN,2023,"14,286 km",Petrol,Manual,"EMI ₹9,285/m*",₹5.26 lakh
860,Maruti Celerio,Maruti,2014,"73,925 km",Petrol,Auto,"EMI ₹12,854/m*",₹3.87 lakh
861,Hyundai Eon,Hyundai,2011,"1,00,014 km",Petrol,Manual,"EMI ₹12,854/m*",₹1.54 lakh
862,Audi A6,Audi,2013,"60,746 km",Diesel,Auto,"EMI ₹83,432/m*",₹9.44 lakh
863,Hyundai Eon,Hyundai,2014,"54,359 km",Petrol,Manual,"EMI ₹6,975/m*",₹2.10 lakh
864,Maruti Swift,Maruti,2015,"1,39,694 km",Diesel,Manual,"EMI ₹13,053/m*",₹3.93 lakh
865,Ford Figo,Ford,2012,"1,18,472 km",Diesel,Manual,"EMI ₹13,053/m*",₹2.05 lakh
866,Tata Indica EV2,Tata,2012,"2,12,878 km",Diesel,Manual,"EMI ₹13,053/m*",₹1.37 lakh
867,Maruti Alto K10,Maruti,2012,"63,640 km",Petrol,Manual,"EMI ₹22,834/m*",₹2.57 lakh
868,Honda Jazz,Honda,2016,"22,324 km",Petrol,Auto,"EMI ₹10,789/m*",₹4.85 lakh
869,Hyundai NEW I20,Hyundai,2023,"55,001 km",Diesel,Manual,"EMI ₹13,398/m*",₹7.59 lakh
870,Maruti Swift,Maruti,2012,"2,46,392 km",Diesel,Manual,"EMI ₹13,398/m*",₹3.40 lakh
871,Maruti Celerio,Maruti,2015,"75,821 km",Petrol,Manual,"EMI ₹9,217/m*",₹3.50 lakh
872,Hyundai Creta,Hyundai,2016,"95,211 km",Petrol,Manual,"EMI ₹15,571/m*",₹7.00 lakh
873,Hyundai i20,Hyundai,2012,"1,41,951 km",Diesel,Manual,"EMI ₹15,571/m*",₹3.10 lakh
874,Maruti Alto K10,Maruti,2015,"90,203 km",Petrol,Manual,"EMI ₹5,056/m*",₹1.92 lakh
875,Tata TIGOR,Tata,2020,"20,178 km",Petrol,Auto,"EMI ₹8,120/m*",₹4.60 lakh
876,Hyundai i20,Hyundai,2011,"1,10,400 km",Petrol,Manual,"EMI ₹8,120/m*",₹2.06 lakh
877,Nissan Terrano,Nissan,2015,"1,97,621 km",Diesel,Manual,"EMI ₹14,814/m*",₹4.46 lakh
878,Chevrolet Cruze,Chevrolet,2012,"1,12,951 km",Diesel,Auto,"EMI ₹14,814/m*",₹3.73 lakh
879,Hyundai Grand i10,Hyundai,2015,"55,997 km",Petrol,Manual,"EMI ₹6,952/m*",₹2.64 lakh
880,Tata Zest,Tata,2015,"86,647 km",Petrol,Manual,"EMI ₹5,793/m*",₹2.20 lakh
881,Hyundai i10,Hyundai,2011,"60,333 km",Petrol,Auto,"EMI ₹5,793/m*",₹1.44 lakh
882,Maruti Alto,Maruti,2012,"54,000 km",Petrol,Manual,"EMI ₹21,235/m*",₹2.39 lakh
