,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
76,Hyundai Grand i10,Hyundai,2018,"44,398 km",CNG,Manual,"EMI ₹9,343/m*",₹4.20 lakh
77,Maruti Eeco,Maruti,2017,"37,708 km",CNG,Manual,"EMI ₹9,612/m*",₹3.65 lakh
78,MG HECTOR,MG,2019,"77,872 km",Petrol,Manual,"EMI ₹14,040/m*",₹8.20 lakh
79,KIA SELTOS,KIA,2021,"37,133 km",Petrol,Manual,"EMI ₹16,670/m*",₹9.74 lakh
80,Renault Kwid,Renault,2022,"16,733 km",Petrol,Manual,"EMI ₹5,384/m*",₹3.05 lakh
81,Honda City,Honda,2015,"76,581 km",Petrol,Manual,"EMI ₹11,592/m*",₹4.40 lakh
82,Maruti IGNIS,Maruti,2022,"41,422 km",Petrol,Manual,"EMI ₹7,354/m*",₹4.17 lakh
83,Maruti Alto,Maruti,2022,"8,104 km",Petrol,Manual,"EMI ₹5,086/m*",₹2.88 lakh
84,Hyundai Grand i10,Hyundai,2015,"78,834 km",CNG,Manual,"EMI ₹15,319/m*",₹3.25 lakh
85,Maruti Wagon R 1.0,Maruti,2013,"34,617 km",Petrol,Manual,"EMI ₹10,101/m*",₹2.15 lakh
86,KIA SONET,KIA,2022,"22,105 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
87,Honda Amaze,Honda,2013,"59,022 km",Diesel,Manual,"EMI ₹21,435/m*",₹2.41 lakh
88,Hyundai i20,Hyundai,2013,"54,961 km",Petrol,Manual,"EMI ₹13,259/m*",₹2.82 lakh
89,Hyundai Eon,Hyundai,2017,"11,320 km",Petrol,Manual,"EMI ₹4,568/m*",₹2.34 lakh
90,Hyundai VENUE,Hyundai,2019,"65,385 km",Petrol,Auto,"EMI ₹11,651/m*",₹6.60 lakh
91,Nissan MAGNITE,Nissan,2023,"39,099 km",Petrol,Auto,"EMI ₹12,004/m*",₹6.80 lakh
92,Hyundai Elite i20,Hyundai,2019,"1,17,259 km",CNG,Manual,"EMI ₹11,345/m*",₹5.10 lakh
93,Honda WR-V,Honda,2017,"1,06,869 km",Diesel,Manual,"EMI ₹10,789/m*",₹4.85 lakh
94,KIA SONET,KIA,2022,"36,812 km",Diesel,Manual,"EMI ₹13,847/m*",₹7.84 lakh
95,Honda Amaze,Honda,2015,"35,930 km",Petrol,Manual,"EMI ₹7,510/m*",₹2.85 lakh
96,Hyundai NEW I20,Hyundai,2021,"45,985 km",Petrol,Auto,"EMI ₹11,474/m*",₹6.50 lakh
97,Nissan Micra,Nissan,2020,"79,380 km",Petrol,Auto,"EMI ₹7,941/m*",₹4.50 lakh
98,Maruti Alto 800,Maruti,2018,"36,240 km",Petrol,Manual,"EMI ₹4,237/m*",₹2.40 lakh
99,Maruti Alto 800,Maruti,2017,"97,714 km",Petrol,Manual,"EMI ₹4,106/m*",₹2.10 lakh
100,Tata NEXON,Tata,2021,"50,137 km",Petrol,Auto,"EMI ₹12,883/m*",₹7.30 lakh
101,Hyundai Elite i20,Hyundai,2019,"1,11,991 km",CNG,Manual,"EMI ₹11,790/m*",₹5.30 lakh
102,MG ASTOR,MG,2022,"65,670 km",Petrol,Auto,"EMI ₹15,325/m*",₹8.95 lakh
103,Hyundai Elite i20,Hyundai,2019,"79,137 km",CNG,Manual,"EMI ₹10,147/m*",₹5.19 lakh
104,Maruti Wagon R 1.0,Maruti,2013,"38,044 km",Petrol,Manual,"EMI ₹9,166/m*",₹1.95 lakh
105,Hyundai i20 Active,Hyundai,2017,"21,209 km",Petrol,Manual,"EMI ₹9,888/m*",₹5.06 lakh
106,Maruti Alto,Maruti,2020,"25,461 km",Petrol,Manual,"EMI ₹4,176/m*",₹2.37 lakh
107,Maruti Alto 800,Maruti,2016,"37,039 km",Petrol,Manual,"EMI ₹5,076/m*",₹2.28 lakh
108,Mahindra XUV500,Mahindra,2016,"84,561 km",Diesel,Auto,"EMI ₹14,457/m*",₹5.49 lakh
109,Maruti Swift Dzire,Maruti,2015,"1,68,545 km",Diesel,Manual,"EMI ₹11,592/m*",₹3.49 lakh
110,Maruti Baleno,Maruti,2020,"1,11,527 km",Petrol,Manual,"EMI ₹9,165/m*",₹4.12 lakh
111,Maruti Swift,Maruti,2018,"77,520 km",Diesel,Auto,"EMI ₹7,390/m*",₹3.78 lakh
112,Tata Tiago,Tata,2016,"1,00,705 km",Diesel,Manual,"EMI ₹5,161/m*",₹1.96 lakh
113,Honda WR-V,Honda,2018,"95,198 km",Diesel,Manual,"EMI ₹6,843/m*",₹3.50 lakh
114,Maruti Alto 800,Maruti,2017,"1,17,920 km",Petrol,Manual,"EMI ₹5,138/m*",₹2.31 lakh
115,Maruti Alto 800,Maruti,2012,"85,216 km",Petrol,Manual,"EMI ₹11,995/m*",₹1.35 lakh
116,Volkswagen Polo,Volkswagen,2014,"90,876 km",Diesel,Manual,"EMI ₹8,097/m*",₹1.72 lakh
117,Maruti New Wagon-R,Maruti,2019,"70,515 km",Petrol,Manual,"EMI ₹5,472/m*",₹3.10 lakh
118,Renault TRIBER,Renault,2019,"45,650 km",Petrol,Manual,"EMI ₹6,161/m*",₹3.49 lakh
