,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
249,Maruti S Cross,Maruti,2016,"77,477 km",Diesel,Manual,"EMI ₹10,191/m*",₹3.87 lakh
250,Ford Ecosport,Ford,2018,"78,909 km",Diesel,Manual,"EMI ₹10,596/m*",₹5.42 lakh
251,MG HECTOR PLUS,MG,2024,"4,402 km",Petrol,Manual,"EMI ₹35,341/m*",₹20.64 lakh
252,Maruti Ertiga,Maruti,2014,"99,166 km",Petrol,Manual,"EMI ₹11,858/m*",₹3.57 lakh
253,Tata Safari,Tata,2022,"61,296 km",Diesel,Manual,"EMI ₹21,215/m*",₹12.39 lakh
254,Hyundai GRAND I10 NIOS,Hyundai,2022,"14,747 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
255,Maruti IGNIS,Maruti,2021,"43,822 km",Petrol,Auto,"EMI ₹10,150/m*",₹5.75 lakh
256,Hyundai Xcent,Hyundai,2017,"48,995 km",Petrol,Manual,"EMI ₹6,295/m*",₹3.22 lakh
257,Hyundai Grand i10,Hyundai,2017,"56,145 km",Petrol,Manual,"EMI ₹6,979/m*",₹3.57 lakh
258,Mahindra XUV700,Mahindra,2023,"72,164 km",Diesel,Manual,"EMI ₹26,043/m*",₹15.21 lakh
259,Tata NEXON EV,Tata,2022,"24,055 km",Electric,Auto,"EMI ₹15,684/m*",₹9.16 lakh
260,KIA SONET,KIA,2024,"25,293 km",Petrol,Manual,"EMI ₹15,410/m*",₹9.00 lakh
261,Mahindra SCORPIO-N,Mahindra,2024,"17,527 km",Diesel,Auto,"EMI ₹39,930/m*",₹23.32 lakh
262,Honda WR-V,Honda,2018,"1,70,186 km",Petrol,Manual,"EMI ₹10,010/m*",₹4.50 lakh
263,Maruti Baleno,Maruti,2020,"52,303 km",Petrol,Auto,"EMI ₹10,839/m*",₹6.14 lakh
264,Mahindra BOLERO NEO,Mahindra,2023,"44,931 km",Diesel,Manual,"EMI ₹14,160/m*",₹8.27 lakh
265,KIA SELTOS,KIA,2022,"77,077 km",Diesel,Manual,"EMI ₹17,071/m*",₹9.97 lakh
266,Mahindra XUV300,Mahindra,2023,"65,765 km",Diesel,Manual,"EMI ₹15,667/m*",₹9.15 lakh
267,MG HECTOR PLUS,MG,2021,"35,835 km",Diesel,Manual,"EMI ₹26,403/m*",₹15.42 lakh
268,Tata Hexa,Tata,2018,"85,880 km",Diesel,Manual,"EMI ₹15,970/m*",₹8.39 lakh
269,Jeep Compass,Jeep,2018,"1,93,186 km",Diesel,Manual,"EMI ₹19,286/m*",₹8.87 lakh
270,Maruti Dzire,Maruti,2023,"38,536 km",Petrol,Manual,"EMI ₹11,315/m*",₹6.41 lakh
271,KIA SELTOS,KIA,2022,"43,294 km",Petrol,Manual,"EMI ₹19,348/m*",₹11.30 lakh
272,KIA SONET,KIA,2022,"22,221 km",Petrol,Auto,"EMI ₹15,787/m*",₹9.22 lakh
273,Maruti Swift,Maruti,2022,"20,579 km",Petrol,Manual,"EMI ₹10,733/m*",₹6.08 lakh
274,MG HECTOR PLUS,MG,2022,"34,777 km",Diesel,Manual,"EMI ₹31,540/m*",₹18.42 lakh
275,KIA SELTOS,KIA,2021,"2,294 km",Petrol,Manual,"EMI ₹16,266/m*",₹9.50 lakh
276,Hyundai Elite i20,Hyundai,2016,"59,163 km",Diesel,Manual,"EMI ₹10,955/m*",₹4.16 lakh
277,Maruti Grand Vitara,Maruti,2023,"15,973 km",Petrol,Manual,"EMI ₹20,256/m*",₹11.83 lakh
278,Maruti Dzire,Maruti,2021,"39,667 km",Petrol,Manual,"EMI ₹12,975/m*",₹7.35 lakh
279,Maruti Swift Dzire,Maruti,2018,"55,353 km",Diesel,Manual,"EMI ₹7,390/m*",₹3.78 lakh
280,Hyundai GRAND I10 NIOS,Hyundai,2021,"17,709 km",Petrol,Manual,"EMI ₹9,480/m*",₹5.37 lakh
281,Mahindra XUV 3XO,Mahindra,2024,"24,189 km",Petrol,Manual,"EMI ₹21,591/m*",₹12.61 lakh
