,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
138,Honda Amaze,Honda,2025,"2,900 km",Petrol,Manual,"EMI ₹13,886/m*",₹8.11 lakh
139,Tata Tiago,Tata,2024,"20,472 km",Petrol,Auto,"EMI ₹11,916/m*",₹6.75 lakh
140,Maruti XL6,Maruti,2021,"81,499 km",Petrol,Manual,"EMI ₹14,565/m*",₹8.51 lakh
141,Ford Endeavour,Ford,2017,"1,53,568 km",Diesel,Auto,"EMI ₹33,701/m*",₹15.50 lakh
142,Hyundai Creta,Hyundai,2024,"48,000 km",Petrol,Manual,"EMI ₹17,533/m*",₹10.24 lakh
143,Audi Q3,Audi,2013,"1,32,626 km",Diesel,Auto,"EMI ₹58,107/m*",₹6.54 lakh
144,Maruti Ertiga,Maruti,2024,"61,474 km",Petrol,Manual,"EMI ₹15,444/m*",₹9.02 lakh
145,Mahindra XUV700,Mahindra,2024,"8,966 km",Petrol,Auto,"EMI ₹41,094/m*",₹24.00 lakh
146,Audi Q5,Audi,2015,"1,22,022 km",Diesel,Auto,"EMI ₹27,337/m*",₹8.35 lakh
147,KIA CARENS,KIA,2023,"1,85,643 km",Petrol,Manual,"EMI ₹18,546/m*",₹8.53 lakh
148,Mahindra XUV700,Mahindra,2024,"41,732 km",Diesel,Auto,"EMI ₹33,063/m*",₹19.31 lakh
149,Hyundai Creta,Hyundai,2023,"23,800 km",Petrol,Auto,"EMI ₹25,084/m*",₹14.65 lakh
150,Hyundai Creta,Hyundai,2023,"23,938 km",Petrol,Manual,"EMI ₹19,776/m*",₹11.55 lakh
151,Tata NEXON,Tata,2017,"1,36,337 km",Petrol,Manual,"EMI ₹11,078/m*",₹4.98 lakh
152,Maruti Vitara Brezza,Maruti,2018,"1,20,584 km",Diesel,Auto,"EMI ₹13,146/m*",₹5.91 lakh
153,Hyundai Creta,Hyundai,2020,"74,046 km",Petrol,Manual,"EMI ₹17,122/m*",₹10.00 lakh
154,Honda Jazz,Honda,2016,"88,047 km",Petrol,Auto,"EMI ₹7,652/m*",₹3.44 lakh
155,KIA SELTOS,KIA,2023,"57,000 km",Diesel,Auto,"EMI ₹25,684/m*",₹15.00 lakh
156,Volkswagen VIRTUS,Volkswagen,2024,"21,321 km",Petrol,Auto,"EMI ₹27,396/m*",₹16.00 lakh
157,Hyundai Creta,Hyundai,2016,"1,55,864 km",Diesel,Manual,"EMI ₹16,222/m*",₹6.16 lakh
158,Audi Q5,Audi,2013,"1,63,871 km",Diesel,Auto,"EMI ₹78,483/m*",₹8.88 lakh
159,MG HECTOR PLUS,MG,2021,"56,000 km",Petrol,Auto,"EMI ₹29,194/m*",₹17.05 lakh
160,Toyota Fortuner,Toyota,2011,"97,882 km",Diesel,Manual,"EMI ₹29,194/m*",₹6.78 lakh
161,Mahindra XUV300,Mahindra,2022,"23,172 km",Petrol,Auto,"EMI ₹14,554/m*",₹8.50 lakh
162,Volkswagen VIRTUS,Volkswagen,2022,"27,026 km",Petrol,Auto,"EMI ₹21,403/m*",₹12.50 lakh
163,Tata Harrier,Tata,2019,"1,03,036 km",Diesel,Manual,"EMI ₹20,003/m*",₹9.20 lakh
164,Mahindra XUV300,Mahindra,2023,"57,083 km",Diesel,Auto,"EMI ₹15,410/m*",₹9.00 lakh
165,Toyota Innova,Toyota,2016,"91,791 km",Diesel,Manual,"EMI ₹16,459/m*",₹6.25 lakh
166,Honda CRV,Honda,2014,"1,02,690 km",Petrol,Auto,"EMI ₹17,305/m*",₹5.21 lakh
167,Tata Safari,Tata,2021,"59,596 km",Diesel,Auto,"EMI ₹26,540/m*",₹15.50 lakh
168,Audi Q5,Audi,2011,"1,60,631 km",Diesel,Auto,"EMI ₹26,540/m*",₹7.11 lakh
169,Tata ALTROZ,Tata,2023,"18,192 km",Petrol,Manual,"EMI ₹11,280/m*",₹6.39 lakh
170,Tata Harrier,Tata,2021,"1,47,270 km",Diesel,Manual,"EMI ₹23,917/m*",₹11.00 lakh
171,KIA SONET,KIA,2022,"54,129 km",Diesel,Manual,"EMI ₹15,753/m*",₹9.20 lakh
172,Maruti Alto,Maruti,2021,"2,01,489 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
173,MG HECTOR,MG,2022,"1,18,224 km",Diesel,Manual,"EMI ₹27,178/m*",₹12.50 lakh
174,Mercedes Benz GLS,Mercedes,2017,"49,519 km",Diesel,Auto,"EMI ₹78,012/m*",₹35.88 lakh
175,Mahindra MARAZZO,Mahindra,2020,"1,19,677 km",Diesel,Manual,"EMI ₹15,571/m*",₹7.00 lakh
176,Tata ALTROZ,Tata,2024,"10,500 km",Petrol,Manual,"EMI ₹13,240/m*",₹7.50 lakh
177,Mercedes Benz GLE,Mercedes,2016,"1,60,986 km",Diesel,Auto,"EMI ₹47,814/m*",₹18.50 lakh
178,Jeep WRANGLER,Jeep,2022,"44,680 km",Petrol,Auto,"EMI ₹82,188/m*",₹48.00 lakh
179,Maruti FRONX,Maruti,2023,"53,791 km",Petrol,Manual,"EMI ₹15,975/m*",₹9.33 lakh
180,Mahindra XUV500,Mahindra,2015,"1,17,054 km",Diesel,Manual,"EMI ₹15,578/m*",₹4.69 lakh
181,Tata NEXON,Tata,2019,"38,113 km",Diesel,Manual,"EMI ₹12,322/m*",₹6.98 lakh
182,Tata TIGOR,Tata,2017,"1,84,323 km",Diesel,Manual,"EMI ₹6,715/m*",₹3.02 lakh
183,Maruti Vitara Brezza,Maruti,2021,"62,271 km",Petrol,Manual,"EMI ₹9,656/m*",₹5.47 lakh
184,Mercedes Benz C Class,Mercedes,2020,"45,230 km",Diesel,Auto,"EMI ₹56,264/m*",₹32.86 lakh
