car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Nissan Micra,Nissan,2016,37463,Petrol,Auto,6117,275000.0
Hyundai i20,Hyundai,2012,160547,Diesel,Manual,6117,215000.0
Hyundai Grand i10,Hyundai,2013,84998,Petrol,Manual,12710,270000.0
Volkswagen Polo,Volkswagen,2010,124237,Petrol,Manual,12710,231000.0
Ford Fiesta Classic,Ford,2012,112585,Diesel,Manual,12710,204999.99999999997
Volkswagen Polo,Volkswagen,2016,92486,Petrol,Manual,11256,505999.99999999994
Hyundai GRAND I10 NIOS,Hyundai,2022,21654,Petrol,Manual,10592,600000.0
Hyundai Accent,Hyundai,2011,62755,Petrol,Manual,10592,150000.0
Tata ALTROZ,Tata,2022,100508,Diesel,Manual,16283,732000.0
Maruti Alto K10,Maruti,2011,73950,Petrol,Manual,16283,170000.0
Renault Kwid,Renault,2016,85249,Petrol,Manual,5561,250000.0
Maruti Ertiga,Maruti,2017,106789,Petrol,Manual,14681,660000.0
Hyundai Creta,Hyundai,2017,64097,Petrol,Manual,12375,633000.0
Hyundai i10,Hyundai,2011,63000,Petrol,Manual,12375,202999.99999999997
Maruti Swift,Maruti,2017,120545,Petrol,Manual,11100,499000.0
Maruti Celerio,Maruti,2015,53544,Petrol,Manual,8611,327000.0
Hyundai Verna,Hyundai,2012,105433,Diesel,Manual,8611,345000.0
Tata Tiago,Tata,2022,17657,Petrol,Auto,10327,585000.0
Honda Amaze,Honda,2020,108041,Diesel,Manual,15148,681000.0
Hyundai Verna,Hyundai,2015,115273,Diesel,Manual,16973,511000.00000000006
Hyundai GRAND I10 NIOS,Hyundai,2020,22309,Petrol,Auto,9903,561000.0
Maruti Ritz,Maruti,2011,129144,Petrol,Manual,9903,143000.0
Honda City,Honda,2017,162708,Diesel,Manual,14459,650000.0
Maruti Ertiga,Maruti,2018,61965,Petrol,Manual,13240,750000.0
Honda Amaze,Honda,2019,38197,Petrol,Auto,11474,650000.0
Hyundai i20,Hyundai,2012,63826,Petrol,Manual,22034,248000.0
Tata Indigo CS,Tata,2011,100000,Diesel,Manual,22034,120000.0
Toyota Etios Liva,Toyota,2013,143858,Diesel,Manual,28965,326000.0
Nissan MAGNITE,Nissan,2023,41280,Petrol,Manual,11827,670000.0
Hyundai Grand i10,Hyundai,2017,62400,Petrol,Manual,9071,463999.99999999994
Maruti Alto,Maruti,2011,86373,Petrol,Manual,9071,129000.0
Volkswagen Vento,Volkswagen,2017,60849,Petrol,Manual,9775,500000.0
Hyundai Grand i10,Hyundai,2014,110070,Petrol,Manual,10496,316000.0
Tata Tiago,Tata,2022,23422,Petrol,Auto,7944,450000.0
KIA CARENS,KIA,2023,61397,Petrol,Manual,19691,1150000.0
Maruti Ciaz,Maruti,2018,68159,Petrol,Manual,9868,559000.0
Mahindra TUV300,Mahindra,2015,106207,Diesel,Manual,15910,479000.0
Maruti Dzire,Maruti,2021,39161,Petrol,Auto,13699,776000.0
Tata ALTROZ,Tata,2022,14476,Petrol,Manual,11651,660000.0
Maruti Baleno,Maruti,2018,19300,Petrol,Auto,8826,500000.0
Maruti Swift,Maruti,2018,105507,Petrol,Auto,11456,515000.00000000006
Tata Tiago,Tata,2016,62481,Petrol,Manual,7541,339000.0
Hyundai i20,Hyundai,2013,178162,Petrol,Manual,14122,300000.0
Honda Amaze,Honda,2015,136991,Petrol,Manual,8796,334000.0
Tata Tiago,Tata,2023,29747,Petrol,Manual,9709,550000.0
Toyota Etios,Toyota,2014,149978,Petrol,Manual,11260,339000.0
Tata Indica Vista,Tata,2011,116885,Diesel,Manual,11260,130000.0
Tata Tiago,Tata,2023,16779,Petrol,Manual,10486,594000.0
Maruti Ciaz,Maruti,2016,106548,Petrol,Manual,8898,400000.0
Maruti S PRESSO,Maruti,2020,83799,Petrol,Manual,6125,347000.0
Maruti Ritz,Maruti,2011,175560,Diesel,Manual,6125,181000.0
Hyundai GRAND I10 NIOS,Hyundai,2021,115072,Diesel,Auto,14793,665000.0
Maruti Vitara Brezza,Maruti,2020,19445,Petrol,Manual,14105,799000.0
Hyundai Grand i10,Hyundai,2015,90355,Petrol,Manual,9191,349000.0
Hyundai Grand i10,Hyundai,2016,80500,Petrol,Manual,8742,393000.0
Renault TRIBER,Renault,2023,32113,Petrol,Auto,11598,657000.0
Honda Jazz,Honda,2017,91973,Petrol,Manual,6940,355000.0
Maruti Swift Dzire,Maruti,2012,75395,Diesel,Manual,6940,350000.0
Skoda Rapid,Skoda,2013,50643,Petrol,Manual,15911,338000.0
Maruti Baleno,Maruti,2021,42174,Petrol,Manual,11209,635000.0
Maruti Dzire,Maruti,2022,103479,Petrol,Manual,16283,732000.0
Hyundai Grand i10,Hyundai,2016,138000,Petrol,Manual,7007,315000.0
Renault Duster,Renault,2012,112809,Diesel,Manual,7007,298000.0
Maruti XL6,Maruti,2023,26949,Petrol,Manual,15410,900000.0
Honda Brio,Honda,2015,30380,Petrol,Auto,9691,368000.0
Honda Jazz,Honda,2017,109734,Petrol,Manual,8898,400000.0
Hyundai Xcent,Hyundai,2015,129958,Petrol,Manual,10112,384000.0
Maruti Swift Dzire,Maruti,2016,57529,Diesel,Manual,16564,629000.0
Hyundai VENUE,Hyundai,2021,93613,Petrol,Manual,14948,873000.0
Maruti FRONX,Maruti,2023,94874,Petrol,Auto,12377,701000.0
Ford Ecosport,Ford,2014,117163,Diesel,Manual,16899,359000.0
