car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Honda Mobilio,Honda,2015,183303,Diesel,Manual,10894,328000.0
BMW X3,BMW,2011,126584,Diesel,Auto,10894,1211000.0
Tata Harrier,Tata,2019,88412,Diesel,Manual,18407,1075000.0
Mercedes Benz GLC CLASS,Mercedes,2020,99272,Diesel,Auto,63490,3708000.0
Volkswagen VIRTUS,Volkswagen,2023,39188,Petrol,Manual,17773,1038000.0000000001
Hyundai Creta,Hyundai,2023,30749,Petrol,Manual,21249,1241000.0
Mercedes Benz GLA Class,Mercedes,2017,125147,Diesel,Auto,25460,1171000.0
Toyota Fortuner,Toyota,2019,126234,Diesel,Auto,48094,2212000.0
Mahindra MARAZZO,Mahindra,2018,135461,Diesel,Manual,10010,450000.0
Maruti Alto,Maruti,2023,64647,Petrol,Manual,7361,417000.0
MG HECTOR,MG,2021,93065,Diesel,Manual,17979,1050000.0
BMW X3,BMW,2011,126432,Diesel,Auto,17979,750000.0
Hyundai Santa Fe,Hyundai,2014,121224,Diesel,Auto,26220,557000.0
Tata Safari,Tata,2021,144512,Diesel,Auto,28635,1317000.0
Volkswagen TAIGUN,Volkswagen,2022,134916,Petrol,Auto,22503,1035000.0
Maruti BREZZA,Maruti,2022,44549,Petrol,Manual,17259,1008000.0
Audi A4,Audi,2017,49797,Diesel,Auto,38941,1791000.0
Mercedes Benz GLA Class,Mercedes,2015,63913,Diesel,Auto,41120,1256000.0
Tata Harrier,Tata,2023,101535,Diesel,Manual,24547,1129000.0
Maruti Vitara Brezza,Maruti,2018,176462,Diesel,Manual,11856,533000.0
Volkswagen VIRTUS,Volkswagen,2024,30765,Petrol,Auto,23971,1400000.0
Tata Harrier,Tata,2024,53565,Diesel,Auto,31694,1851000.0000000002
Tata Harrier,Tata,2021,81474,Diesel,Manual,19263,1125000.0
MG HECTOR,MG,2020,97494,Diesel,Manual,16609,969999.9999999999
Maruti Eeco,Maruti,2021,83980,Petrol,Manual,6832,387000.0
MG HECTOR,MG,2020,84591,Diesel,Manual,20598,1203000.0
Maruti S PRESSO,Maruti,2023,30263,Petrol,Manual,7697,436000.00000000006
Hyundai ALCAZAR,Hyundai,2021,123304,Diesel,Auto,27308,1256000.0
Mahindra Thar Roxx,Mahindra,2024,42510,Diesel,Auto,33337,1947000.0
Tata Harrier,Tata,2023,150324,Diesel,Auto,27178,1250000.0
Volkswagen TIGUAN,Volkswagen,2022,36763,Petrol,Auto,39947,2333000.0
MG GLOSTER,MG,2023,151259,Diesel,Auto,66249,3047000.0
Hyundai Tucson,Hyundai,2020,124990,Diesel,Auto,32070,1475000.0
Tata Harrier,Tata,2023,96633,Diesel,Manual,16266,950000.0
Toyota Fortuner,Toyota,2014,221629,Diesel,Manual,45210,969999.9999999999
Mercedes Benz GLA Class,Mercedes,2018,125316,Diesel,Auto,31157,1433000.0
Mercedes Benz GLA Class,Mercedes,2017,72001,Diesel,Auto,27982,1287000.0
Tata TIAGO EV,Tata,2023,25977,Electric,Auto,14105,799000.0
Landrover DISCOVERY SPORT,Landrover,2017,178930,Diesel,Auto,32614,1500000.0
Tata NEXON EV,Tata,2023,102000,Electric,Auto,28896,1329000.0
Mercedes Benz GLC CLASS,Mercedes,2020,51026,Petrol,Auto,43063,2515000.0
Landrover DISCOVERY SPORT,Landrover,2016,135229,Diesel,Auto,40681,1574000.0
Mahindra SCORPIO-N,Mahindra,2025,14316,Diesel,Auto,37550,2193000.0
Volkswagen Ameo,Volkswagen,2016,205971,Petrol,Manual,5161,231999.99999999997
