car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Honda WR-V,Honda,2017,72792,Diesel,Manual,10766,484000.0
Maruti New Wagon-R,Maruti,2022,88242,Petrol,Manual,8244,467000.0
KIA SELTOS,KIA,2019,29763,Diesel,Manual,17157,1002000.0
Maruti Grand Vitara,Maruti,2023,55907,Petrol,Manual,17807,1040000.0
Toyota Fortuner,Toyota,2014,130862,Diesel,Manual,43205,927000.0
Honda BR-V,Honda,2018,106217,Petrol,Manual,9254,416000.0
MG HECTOR,MG,2019,123227,Diesel,Manual,19655,903999.9999999999
Hyundai Verna,Hyundai,2023,5042,Petrol,Auto,23098,1349000.0
KIA SONET,KIA,2021,93363,Diesel,Manual,14777,863000.0000000001
Tata TIAGO EV,Tata,2023,33405,Electric,Auto,13928,789000.0
Honda Amaze,Honda,2025,21851,Petrol,Manual,13972,816000.0
Maruti JIMNY,Maruti,2023,22631,Petrol,Auto,19948,1165000.0
Toyota Innova Crysta,Toyota,2018,125080,Diesel,Manual,26374,1213000.0
Maruti BREZZA,Maruti,2022,97254,Petrol,Manual,15770,921000.0000000001
Tata Hexa,Tata,2018,122315,Diesel,Auto,18177,836000.0
MG HECTOR,MG,2019,96531,Petrol,Auto,16266,950000.0
Maruti JIMNY,Maruti,2024,16358,Petrol,Manual,21831,1275000.0
Mahindra Bolero,Mahindra,2021,93625,Diesel,Manual,13928,789000.0
Toyota Fortuner,Toyota,2015,119847,Diesel,Manual,51825,1583000.0
Toyota HILUX,Toyota,2023,112330,Diesel,Manual,57552,2647000.0
Jeep Compass,Jeep,2020,88413,Diesel,Manual,21061,1230000.0
Mahindra XUV500,Mahindra,2012,125467,Diesel,Manual,21061,338000.0
Honda City,Honda,2011,74006,Petrol,Manual,21061,229000.0
Ford Figo,Ford,2011,147814,Diesel,Manual,21061,126000.0
Maruti Swift,Maruti,2010,79600,Petrol,Manual,21061,139000.0
Hyundai i20,Hyundai,2013,70859,Petrol,Manual,10452,222000.00000000003
Maruti Alto 800,Maruti,2014,37386,Petrol,Manual,5414,163000.0
Hyundai Elite i20,Hyundai,2017,43075,Petrol,Manual,6620,339000.0
Mahindra XUV500,Mahindra,2018,78294,Diesel,Manual,12062,617000.0
Maruti Vitara Brezza,Maruti,2021,33548,Petrol,Manual,12357,700000.0
KIA SELTOS,KIA,2020,33034,Petrol,Manual,13997,793000.0
Honda Jazz,Honda,2021,71826,Petrol,Auto,8879,503000.0
