car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti IGNIS,Maruti,2019,141300,Petrol,Auto,9276,417000.0
Maruti Celerio,Maruti,2018,19523,Petrol,Manual,6779,384000.0
Volkswagen Polo,Volkswagen,2011,71774,Petrol,Manual,6779,186000.0
Maruti Swift Dzire,Maruti,2016,78869,Petrol,Manual,8008,360000.0
Maruti Ritz,Maruti,2012,108727,Diesel,Manual,8008,227999.99999999997
Renault Kwid,Renault,2018,59290,Petrol,Auto,5437,308000.0
Mahindra Kuv100,Mahindra,2016,45081,Petrol,Manual,5205,234000.0
Maruti Alto K10,Maruti,2011,67736,Petrol,Manual,5205,115999.99999999999
Ford Figo,Ford,2012,59781,Petrol,Manual,12439,140000.0
Maruti Alto,Maruti,2020,29283,Petrol,Manual,5719,324000.0
Maruti Baleno,Maruti,2023,124492,Petrol,Manual,14459,650000.0
Maruti Swift,Maruti,2013,104732,Petrol,Manual,14075,299000.0
Maruti Alto K10,Maruti,2018,23949,Petrol,Manual,4572,259000.0
Ford Figo,Ford,2011,60989,Petrol,Manual,4572,98000.0
Ford Fiesta,Ford,2011,113405,Diesel,Manual,4572,94000.0
Tata Tiago,Tata,2016,121398,Petrol,Manual,5561,250000.0
Maruti Ciaz,Maruti,2015,35810,Petrol,Manual,13694,520000.0
Maruti Swift Dzire,Maruti,2013,101816,Petrol,Manual,13840,294000.0
Jeep Compass,Jeep,2017,88121,Petrol,Auto,15210,778000.0
Volkswagen Ameo,Volkswagen,2016,64731,Petrol,Manual,8164,367000.0
Hyundai New Elantra,Hyundai,2013,106475,Petrol,Manual,14404,306000.0
Volkswagen Vento,Volkswagen,2015,132193,Diesel,Manual,10562,318000.0
Renault Duster,Renault,2015,138431,Diesel,Manual,10629,320000.0
Renault Kwid,Renault,2019,46337,Petrol,Auto,5137,291000.0
Hyundai i20,Hyundai,2010,100000,Petrol,Manual,5137,88000.0
Maruti S PRESSO,Maruti,2024,11703,Petrol,Auto,9515,539000.0
Maruti Alto K10,Maruti,2012,79677,Petrol,Manual,14660,165000.0
Tata NEXON,Tata,2019,21018,Petrol,Auto,12992,736000.0
