car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Grand i10,Hyundai,2015,74090,Diesel,Manual,8270,249000.00000000003
Maruti Alto K10,Maruti,2023,42247,Petrol,Manual,7785,441000.0
Hyundai Creta,Hyundai,2018,77667,Petrol,Manual,9374,531000.0
Mahindra Kuv100,Mahindra,2017,7491,Diesel,Manual,4961,223000.0
Maruti Swift,Maruti,2018,84154,Petrol,Manual,7449,422000.0
Tata NEXON,Tata,2019,103918,Petrol,Manual,9587,430999.99999999994
Maruti Ciaz,Maruti,2015,70127,Diesel,Manual,14282,430000.0
Hyundai i10,Hyundai,2010,182685,Petrol,Manual,14282,96000.0
Hyundai New Elantra,Hyundai,2012,145714,Diesel,Auto,14282,266000.0
Hyundai Accent,Hyundai,2011,151272,Petrol,Manual,14282,95000.0
Chevrolet Sail UVA,Chevrolet,2012,139918,Diesel,Manual,14282,95000.0
Renault Pulse,Renault,2013,200000,Diesel,Manual,10928,123000.0
Maruti Baleno,Maruti,2021,50388,Petrol,Manual,8297,470000.0
Skoda SLAVIA,Skoda,2022,83462,Petrol,Auto,15307,894000.0
Renault Kiger,Renault,2022,45252,Petrol,Manual,9603,544000.0
Tata Manza,Tata,2011,75000,Petrol,Manual,9603,96000.0
Mahindra MARAZZO,Mahindra,2019,89149,Diesel,Manual,7961,451000.0
Maruti Baleno,Maruti,2020,64016,Petrol,Auto,8720,494000.00000000006
Maruti Ertiga,Maruti,2017,105758,Diesel,Manual,13347,600000.0
Maruti S Cross,Maruti,2018,97776,Diesel,Manual,9462,484000.0
Chevrolet Beat,Chevrolet,2010,115332,Petrol,Manual,9462,62000.0
Skoda Fabia,Skoda,2011,167998,Diesel,Manual,9462,96000.0
Skoda Fabia,Skoda,2011,135072,Diesel,Manual,9462,77000.0
Tata TIGOR,Tata,2022,95760,Petrol,Manual,8809,499000.0
Hyundai Grand i10,Hyundai,2016,75709,Petrol,Manual,8230,370000.0
KIA SONET,KIA,2021,19150,Petrol,Manual,11951,677000.0
Mercedes Benz E Class,Mercedes,2012,51292,Petrol,Auto,35184,396000.0
Chevrolet Beat,Chevrolet,2016,136116,Petrol,Manual,3737,168000.0
Hyundai Elite i20,Hyundai,2015,212080,Petrol,Manual,8954,340000.0
Hyundai Xcent,Hyundai,2014,70726,Petrol,Manual,9964,300000.0
Volkswagen Vento,Volkswagen,2016,102959,Diesel,Auto,8611,327000.0
Tata Manza,Tata,2013,167034,Diesel,Manual,15282,172000.0
Volkswagen Ameo,Volkswagen,2017,87690,Diesel,Manual,7474,336000.0
Hyundai Grand i10,Hyundai,2016,118073,Petrol,Manual,6718,302000.0
Volkswagen VIRTUS,Volkswagen,2022,42256,Petrol,Manual,14554,850000.0
Maruti Ciaz,Maruti,2015,149923,Diesel,Manual,13618,409999.99999999994
Maruti Ertiga,Maruti,2013,149878,Diesel,Manual,35540,400000.0
Mahindra XUV500,Mahindra,2015,101937,Diesel,Manual,17936,540000.0
Maruti Wagon R 1.0,Maruti,2011,114421,Petrol,Manual,17936,129000.0
Mahindra XUV300,Mahindra,2019,86052,Diesel,Manual,11474,650000.0
Tata PUNCH,Tata,2024,9884,Petrol,Auto,11633,659000.0
Ford Ecosport,Ford,2014,100002,Diesel,Manual,14640,311000.0
Honda WR-V,Honda,2017,129737,Diesel,Manual,8900,400000.0
Hyundai i10,Hyundai,2011,90974,Petrol,Manual,8900,113999.99999999999
Hyundai Elite i20,Hyundai,2017,34498,Petrol,Manual,9071,463999.99999999994
Maruti Alto,Maruti,2010,78556,Petrol,Manual,9071,90000.0
Maruti New Wagon-R,Maruti,2021,71211,Petrol,Manual,7167,405999.99999999994
Hyundai AURA,Hyundai,2022,27052,Petrol,Manual,11969,678000.0
Hyundai Elite i20,Hyundai,2019,65458,Petrol,Manual,9074,513999.99999999994
Hyundai Creta,Hyundai,2016,84295,Petrol,Manual,14459,650000.0
Skoda Fabia,Skoda,2011,68600,Diesel,Manual,14459,135000.0
Mahindra Quanto,Mahindra,2013,110276,Diesel,Manual,9773,110000.00000000001
Maruti Alto K10,Maruti,2023,35982,Petrol,Manual,7997,453000.0
Tata NEXON,Tata,2020,61926,Diesel,Manual,12533,710000.0
Tata PUNCH,Tata,2024,11912,Petrol,Manual,12551,711000.0
MG ASTOR,MG,2022,19813,Petrol,Manual,18304,1069000.0
Volkswagen Vento,Volkswagen,2017,171508,Diesel,Auto,8987,404000.0
Honda Brio,Honda,2015,53295,Petrol,Auto,8163,310000.0
Volkswagen Vento,Volkswagen,2016,94772,Diesel,Auto,9691,368000.0
Honda WR-V,Honda,2017,128338,Diesel,Manual,11589,521000.0
Renault Duster,Renault,2016,71394,Diesel,Manual,9191,349000.0
Hyundai Grand i10,Hyundai,2019,48805,Petrol,Manual,6902,391000.0
Renault Pulse,Renault,2013,163958,Diesel,Manual,12261,138000.0
Maruti Vitara Brezza,Maruti,2018,124608,Diesel,Auto,11033,496000.0
Maruti Swift Dzire,Maruti,2016,77096,Diesel,Auto,11192,425000.0
KIA CARENS,KIA,2023,25206,Petrol,Manual,18578,1085000.0
Maruti Baleno,Maruti,2018,29368,Petrol,Manual,7185,407000.0
Maruti Grand Vitara,Maruti,2024,91268,Petrol,Manual,21865,1277000.0
Datsun Redi Go,Datsun,2019,89964,Petrol,Manual,2577,146000.0
Honda WR-V,Honda,2018,85872,Diesel,Manual,9775,500000.0
Maruti Wagon R 1.0,Maruti,2011,128649,Petrol,Manual,9775,122000.0
Mahindra XUV500,Mahindra,2017,112720,Diesel,Manual,14348,645000.0
Honda City,Honda,2016,224000,Petrol,Manual,10099,454000.0
Tata ALTROZ,Tata,2022,27010,Petrol,Auto,11368,644000.0
Honda Amaze,Honda,2016,85639,Diesel,Manual,9138,347000.0
Hyundai Grand i10,Hyundai,2015,7607,Petrol,Manual,9138,347000.0
Tata ALTROZ,Tata,2022,57910,Diesel,Manual,12392,702000.0
Maruti Ertiga,Maruti,2016,76761,Diesel,Manual,16432,624000.0
Hyundai Grand i10,Hyundai,2015,78205,Diesel,Manual,9964,300000.0
Mahindra XUV500,Mahindra,2017,67973,Diesel,Manual,13547,609000.0
Ford Ecosport,Ford,2017,116788,Diesel,Manual,8609,387000.0
Maruti Swift,Maruti,2025,39273,Petrol,Manual,9974,565000.0
Skoda Superb,Skoda,2014,76086,Petrol,Auto,14946,450000.0
Honda WR-V,Honda,2017,95157,Diesel,Manual,10010,450000.0
Maruti Vitara Brezza,Maruti,2020,80250,Petrol,Manual,11615,658000.0
Ford Ecosport,Ford,2013,125006,Diesel,Manual,28254,318000.0
KIA SELTOS,KIA,2021,57536,Petrol,Manual,13593,770000.0
Maruti Vitara Brezza,Maruti,2020,61770,Petrol,Manual,9903,561000.0
Maruti Ciaz,Maruti,2017,164172,Diesel,Manual,9209,413999.99999999994
Hyundai Grand i10,Hyundai,2018,70587,Petrol,Manual,6990,396000.0
Maruti Alto,Maruti,2020,74274,Petrol,Manual,4343,246000.0
Tata ALTROZ,Tata,2022,89122,Diesel,Manual,10150,575000.0
Maruti Ertiga,Maruti,2018,97809,Diesel,Manual,13685,700000.0
Tata NEXON,Tata,2022,66610,Diesel,Auto,14897,869999.9999999999
Audi A4,Audi,2013,125000,Diesel,Auto,53309,600000.0
Tata NEXON,Tata,2023,64902,Diesel,Manual,14486,846000.0000000001
Hyundai VENUE,Hyundai,2020,82822,Diesel,Manual,13169,746000.0
Hyundai Elite i20,Hyundai,2019,65660,Petrol,Manual,8703,493000.0
Maruti Ertiga,Maruti,2023,59678,Petrol,Manual,16232,948000.0
Maruti Ciaz,Maruti,2017,163232,Diesel,Manual,9053,407000.0
Tata NEXON,Tata,2023,37290,Petrol,Auto,18972,1108000.0
Volkswagen Vento,Volkswagen,2018,152673,Diesel,Auto,14459,650000.0
Maruti New Wagon-R,Maruti,2023,11361,Petrol,Manual,9532,540000.0
Hyundai AURA,Hyundai,2023,19624,Petrol,Manual,12922,732000.0
KIA CARENS,KIA,2022,84892,Diesel,Auto,22533,1316000.0
Hyundai VENUE,Hyundai,2022,95679,Diesel,Manual,13222,749000.0
Volkswagen Passat,Volkswagen,2012,198000,Diesel,Manual,13222,350000.0
Tata NEXON,Tata,2024,24197,Petrol,Auto,13972,816000.0
Honda WR-V,Honda,2020,87672,Petrol,Manual,10768,610000.0
Tata ALTROZ,Tata,2023,29759,Petrol,Auto,12304,697000.0
Maruti Eeco,Maruti,2017,53041,Petrol,Manual,5885,301000.0
Hyundai Creta,Hyundai,2017,88650,Diesel,Auto,16728,752000.0
Skoda Rapid,Skoda,2016,112344,Diesel,Auto,10428,396000.0
Tata Harrier,Tata,2021,95032,Diesel,Manual,19657,1148000.0
Maruti Baleno,Maruti,2018,64986,Petrol,Auto,7661,434000.0
Maruti Ciaz,Maruti,2016,127520,Diesel,Manual,10033,381000.0
Maruti Vitara Brezza,Maruti,2016,66726,Diesel,Manual,13852,526000.0
Skoda Laura,Skoda,2011,92361,Diesel,Auto,13852,316000.0
Hyundai Creta,Hyundai,2016,81756,Diesel,Auto,16985,645000.0
Hyundai NEW SANTRO,Hyundai,2021,24855,Petrol,Auto,7944,450000.0
Jeep Compass,Jeep,2018,57000,Diesel,Manual,15151,775000.0
Hyundai Creta,Hyundai,2018,220015,Diesel,Manual,15727,707000.0
Skoda Laura,Skoda,2013,129165,Diesel,Auto,36783,413999.99999999994
KIA SYROS,KIA,2025,10837,Petrol,Manual,16181,944999.9999999999
Maruti Grand Vitara,Maruti,2023,42480,Petrol,Manual,18544,1083000.0
Maruti Ciaz,Maruti,2020,105100,Petrol,Manual,10766,484000.0
Hyundai NEW I20,Hyundai,2023,33821,Petrol,Auto,14434,843000.0
Ford Ecosport,Ford,2018,103745,Petrol,Auto,11701,526000.0
Volvo S60,Volvo,2014,114445,Diesel,Auto,42227,906000.0
Jeep Compass,Jeep,2018,136198,Diesel,Manual,16416,738000.0
Maruti Grand Vitara,Maruti,2025,900,Petrol,Manual,19862,1160000.0
Hyundai Accent,Hyundai,2010,87760,Petrol,Manual,19862,350000.0
Maruti Celerio,Maruti,2022,44884,Petrol,Manual,7944,450000.0
Maruti S Cross,Maruti,2019,117415,Diesel,Manual,13525,608000.0
KIA SONET,KIA,2020,102374,Diesel,Manual,16884,759000.0
Maruti New Wagon-R,Maruti,2020,117543,Petrol,Manual,8675,390000.0
