,car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price,city
9209,Audi Q7,Audi,2014,66849,Diesel,Auto,72242,1550000.0,Nashik
9210,KIA SONET,KIA,2021,160852,Diesel,Manual,17937,825000.0,Nashik
9211,Tata Hexa,Tata,2017,272583,Diesel,Auto,15571,700000.0,Nashik
9212,Mahindra SCORPIO-N,Mahindra,2023,31051,Diesel,Auto,40238,2350000.0,Nashik
9213,KIA SELTOS,KIA,2022,37131,Diesel,Auto,22088,1290000.0,Nashik
9214,Tata NEXON EV,Tata,2021,53241,Electric,Auto,19982,1167000.0,Nashik
9215,Toyota Fortuner,Toyota,2013,148394,Diesel,Auto,96071,1087000.0,Nashik
9216,Toyota Innova Crysta,Toyota,2022,36120,Petrol,Auto,30820,1800000.0,Nashik
9217,Skoda Kodiaq,Skoda,2017,108127,Diesel,Auto,35745,1644000.0000000002,Nashik
9218,KIA SELTOS,KIA,2020,92197,Diesel,Auto,23475,1371000.0,Nashik
9219,Hyundai i20,Hyundai,2011,87638,Petrol,Manual,49638,170000.0,Nashik
9220,Hyundai Creta,Hyundai,2020,34304,Petrol,Auto,18561,1084000.0,Nashik
9221,Hyundai Xcent,Hyundai,2014,58001,Petrol,Manual,10994,331000.0,Nashik
9222,Maruti Ciaz,Maruti,2018,151730,Diesel,Manual,11856,533000.0,Nashik
9223,Volkswagen Vento,Volkswagen,2012,81059,Diesel,Manual,11856,193000.0,Nashik
9224,Hyundai Eon,Hyundai,2014,69866,Petrol,Manual,5294,159000.0,Patna
9225,Datsun Redi Go,Datsun,2020,41254,Petrol,Manual,4943,280000.0,Patna
9226,Maruti Celerio,Maruti,2019,10304,Petrol,Manual,6030,342000.0,Patna
9227,Mahindra Thar,Mahindra,2021,85850,Diesel,Auto,16266,950000.0,Patna
9228,Maruti Ertiga,Maruti,2019,92458,Petrol,Manual,12354,700000.0,Patna
9229,Hyundai Elite i20,Hyundai,2019,35356,Petrol,Manual,6992,396000.0,Patna
9230,Maruti Dzire,Maruti,2019,30100,Petrol,Manual,8059,457000.0,Patna
9231,Mahindra Scorpio,Mahindra,2021,59447,Diesel,Manual,18820,1099000.0,Patna
9232,Ford FREESTYLE,Ford,2019,27488,Petrol,Manual,6626,375000.0,Patna
9233,Maruti Alto 800,Maruti,2018,80610,Petrol,Manual,2698,153000.0,Patna
9234,Maruti S Cross,Maruti,2021,28379,Petrol,Manual,11076,627000.0,Patna
9235,Ford Ecosport,Ford,2019,61635,Petrol,Manual,7594,430000.0,Patna
9236,Skoda KUSHAQ,Skoda,2023,66576,Petrol,Manual,16092,940000.0,Patna
9237,Hyundai AURA,Hyundai,2021,95560,CNG,Manual,8297,470000.0,Patna
9238,Maruti Alto K10,Maruti,2018,87853,Petrol,Manual,4065,230000.0,Patna
9239,Skoda KUSHAQ,Skoda,2022,71865,Petrol,Manual,14443,844000.0,Patna
9240,Maruti Celerio,Maruti,2021,72775,Petrol,Manual,5649,320000.0,Patna
9241,Hyundai VENUE,Hyundai,2020,32411,Petrol,Manual,10503,595000.0,Patna
9242,Maruti Swift,Maruti,2018,33345,Petrol,Manual,8385,475000.0,Patna
9243,Tata NEXON,Tata,2020,46430,Petrol,Manual,10415,590000.0,Patna
9244,Honda Amaze,Honda,2024,19948,Petrol,Manual,11774,667000.0,Patna
9245,Maruti Alto K10,Maruti,2019,35115,Petrol,Manual,4264,242000.0,Patna
9246,Hyundai NEW I20,Hyundai,2023,54110,Petrol,Manual,9974,565000.0,Patna
